Income,Recency,NumWebVisitsMonth,Complain,Age,Total_spend,Total_purchase,Total_children,accepted_camp,Total_adults,Family_size,Customer_Since_Years,Education_encode
459,66664.0,78,3,0,41,1289,19,0,0,2,2,11,3
460,60597.0,2,7,0,59,893,16,1,2,2,3,9,2
461,70165.0,60,1,0,74,926,22,0,0,1,1,10,2
462,50520.0,25,6,0,65,135,9,1,0,1,2,9,4
463,80124.0,47,1,0,60,1495,19,0,1,2,2,9,2
464,33183.0,46,7,0,48,120,9,1,0,2,3,9,2
465,66582.0,83,1,0,54,1288,20,0,0,1,1,9,4
466,75261.0,17,2,0,68,1743,17,0,3,2,2,10,4
467,31880.0,13,8,0,53,15,4,1,0,1,2,11,2
468,53790.0,86,6,0,72,542,20,2,0,2,4,9,2
469,49269.0,92,7,0,52,890,25,1,0,2,3,11,4
470,61456.0,47,4,0,48,1388,33,1,0,2,3,10,2
471,37406.0,18,8,0,43,17,4,1,1,2,3,10,2
472,56937.0,81,6,0,42,906,30,1,2,2,3,11,4
473,38415.0,91,7,0,45,44,6,2,0,2,4,10,2
474,20518.0,58,5,0,35,25,5,1,0,1,2,9,2
475,62503.0,40,5,0,67,973,26,1,0,2,3,10,2
476,41644.0,67,3,0,51,31,6,2,0,1,3,9,4
477,55842.0,19,5,0,46,518,17,1,0,2,3,9,3
478,62010.0,93,5,0,51,530,19,1,0,2,3,11,4
479,41124.0,41,8,0,46,506,21,1,0,2,3,11,2
480,38961.0,60,7,0,50,70,6,1,0,2,3,10,3
481,37760.0,54,6,0,51,54,6,1,0,1,2,10,3
482,32233.0,26,9,0,49,296,12,1,2,1,2,11,2
483,43057.0,30,5,0,48,266,15,1,0,2,3,10,2
484,83151.0,93,3,0,63,747,19,0,0,2,2,11,3
485,78825.0,35,3,0,59,895,29,0,1,1,1,11,4
486,65104.0,4,7,0,47,1053,17,1,0,2,3,10,3
487,60093.0,92,6,0,49,735,21,1,0,2,3,10,2
488,14045.0,24,7,0,54,20,5,1,0,2,3,9,2
489,28457.0,96,8,0,71,205,10,0,0,1,1,11,3
490,78952.0,11,6,0,65,2092,21,1,0,2,3,11,4
491,46310.0,99,8,0,47,309,14,1,0,1,2,11,2
492,76005.0,72,6,0,68,1722,22,0,1,2,2,10,2
493,58308.0,77,8,0,59,900,15,1,0,1,2,10,3
494,55614.0,85,7,0,79,682,20,0,1,1,1,10,4
495,59432.0,88,5,0,61,663,22,1,0,1,2,10,3
496,55563.0,22,3,0,45,43,6,1,0,1,2,9,2
497,78642.0,83,6,0,52,1816,18,1,0,2,3,10,4
498,67911.0,63,3,0,74,976,27,1,0,2,3,9,4
499,65275.0,9,2,0,79,746,21,0,0,2,2,10,2
500,27203.0,92,8,0,73,64,6,2,0,2,4,11,2
501,48330.0,2,5,0,62,32,5,1,0,2,3,10,3
502,24279.0,6,8,0,33,263,9,0,0,2,2,11,1
503,64355.0,66,8,0,38,1445,21,1,0,2,3,11,4
504,50943.0,49,5,0,67,46,5,1,0,2,3,10,3
505,53653.0,29,6,0,70,1210,28,0,0,1,1,11,2
506,65665.0,77,3,0,47,945,24,1,0,2,3,10,2
507,81217.0,77,1,0,34,1157,22,0,0,1,1,10,2
508,34935.0,71,7,0,31,137,8,0,0,2,2,10,2
509,61250.0,49,5,0,64,730,25,1,0,1,2,11,2
510,39665.0,97,7,0,42,216,12,1,1,2,3,10,4
511,60152.0,6,3,0,44,943,23,1,0,1,2,10,2
512,48920.0,93,7,0,59,347,16,2,1,2,4,10,2
513,89120.0,78,1,0,64,1924,19,0,1,2,2,9,3
514,44124.0,62,8,0,77,397,17,1,0,2,3,10,4
515,81169.0,47,2,0,48,2089,22,0,0,1,1,10,3
516,36443.0,9,8,0,62,138,11,2,0,2,4,10,2
517,26095.0,77,7,0,33,42,5,1,0,1,2,10,2
518,71367.0,24,2,0,64,777,17,0,0,2,2,10,2
519,80184.0,19,3,0,79,1902,20,0,2,2,2,9,3
520,30630.0,67,7,0,58,52,7,2,0,1,3,9,2
521,73454.0,95,5,0,36,1651,13,0,1,1,1,9,3
522,42691.0,48,5,0,32,358,13,0,0,2,2,10,2
523,70503.0,73,6,0,70,1727,16,0,2,2,2,11,2
524,25545.0,35,6,0,36,210,10,1,1,2,3,11,2
525,32880.0,76,8,0,37,42,5,1,0,2,3,11,2
526,77863.0,20,2,0,65,1291,20,0,0,2,2,10,4
527,50353.0,72,3,0,46,442,15,0,0,2,2,9,3
528,61839.0,20,8,0,59,1895,17,0,0,1,1,11,2
529,49154.0,69,6,0,63,411,19,2,0,2,4,10,4
530,47682.0,80,5,0,48,521,19,1,0,1,2,10,3
531,72679.0,65,1,0,54,1168,17,1,0,1,2,10,2
532,57954.0,52,7,0,46,493,23,2,1,2,4,9,3
533,65316.0,65,4,0,61,260,12,2,0,2,4,10,2
534,28567.0,57,6,0,41,46,7,1,0,1,2,10,2
535,47352.0,70,7,0,72,319,16,1,0,2,3,10,3
536,44931.0,0,5,0,56,96,7,1,0,2,3,9,2
537,76982.0,19,4,0,56,1062,16,0,2,1,1,9,2
538,57247.0,50,2,0,71,232,12,1,0,2,3,10,3
539,22944.0,67,7,0,42,76,9,1,0,1,2,10,3
540,25315.0,46,8,0,46,54,9,1,0,2,3,10,3
541,43638.0,37,7,0,54,201,11,1,0,1,2,11,2
542,42710.0,38,6,0,39,406,14,1,0,1,2,11,4
543,84169.0,9,3,0,41,1919,20,0,3,2,2,10,4
544,54058.0,56,3,0,47,662,20,1,0,2,3,10,2
545,24683.0,98,5,0,33,41,8,1,0,2,3,9,3
546,85620.0,68,1,0,59,1600,14,0,1,1,1,9,2
547,47850.0,72,6,0,43,134,8,1,0,2,3,10,2
548,19514.0,47,8,0,55,69,10,2,2,2,4,9,2
549,27159.0,33,6,0,50,21,6,2,0,2,4,9,3
550,39548.0,87,3,0,60,54,7,2,0,1,3,9,3
551,21474.0,0,7,0,34,91,8,1,2,1,2,9,2
552,60504.0,73,6,0,52,526,18,1,0,1,2,9,4
553,22419.0,74,8,0,60,162,8,0,0,2,2,10,2
554,81698.0,4,1,0,74,1008,25,0,1,2,2,10,3
555,43462.0,50,8,0,71,240,16,2,0,2,4,11,2
556,54880.0,57,5,0,45,795,21,1,0,1,2,10,4
557,79908.0,30,2,0,41,1772,19,0,1,2,2,10,2
558,15315.0,27,5,0,53,64,8,0,0,2,2,10,3
559,87771.0,61,6,0,64,1957,20,1,5,2,3,10,2
560,33039.0,4,5,0,45,78,7,1,0,2,3,10,2
561,81741.0,75,2,0,43,1572,19,0,0,1,1,10,2
562,71499.0,12,4,0,52,795,26,1,0,2,3,10,3
563,62466.0,13,4,0,53,889,26,1,0,2,3,9,3
564,48799.0,9,3,0,60,331,15,1,0,1,2,10,4
565,52157.0,48,4,0,73,265,12,1,0,2,3,9,4
566,66565.0,80,8,0,61,1065,19,1,0,1,2,11,2
567,29298.0,60,5,0,72,11,4,2,0,2,4,10,3
568,47691.0,43,6,0,44,21,4,1,0,1,2,10,2
569,38200.0,19,7,0,53,17,4,2,0,2,4,11,2
570,44989.0,26,6,0,49,369,16,1,0,2,3,11,2
571,38443.0,58,7,0,55,38,6,2,0,2,4,9,4
572,38593.0,42,8,0,45,177,11,1,0,1,2,10,3
573,64413.0,27,5,0,53,279,12,1,0,2,3,10,4
574,36959.0,56,8,0,42,62,7,1,0,2,3,10,3
575,61996.0,27,5,0,46,1230,21,1,4,2,3,10,4
576,51287.0,10,7,0,55,182,11,2,0,2,4,9,2
577,13260.0,48,8,0,53,49,10,2,0,2,4,10,2
578,47472.0,39,5,0,57,75,8,2,0,2,4,10,4
579,54603.0,85,7,0,67,227,16,2,0,2,4,10,3
580,45207.0,64,6,0,49,215,15,2,1,2,4,11,4
581,40689.0,69,8,0,72,444,20,1,0,2,3,10,2
582,47821.0,54,8,0,56,47,5,2,0,2,4,10,3
583,27450.0,57,7,0,72,143,7,0,0,2,2,10,3
584,39453.0,64,6,0,40,55,7,1,0,2,3,9,2
585,26850.0,10,4,0,52,63,11,2,0,2,4,9,3
586,79800.0,65,3,0,68,1867,22,0,4,1,1,11,2
587,61794.0,74,2,0,62,611,20,1,0,2,3,10,3
588,53863.0,4,7,0,68,473,18,1,1,2,3,9,2
589,24221.0,94,4,0,64,55,6,0,0,2,2,10,2
590,39684.0,41,7,1,39,81,7,1,1,1,2,11,4
591,92163.0,25,2,0,48,2086,21,0,3,2,2,11,3
592,69882.0,94,1,0,58,1478,20,0,0,1,1,10,3
593,33178.0,9,4,0,46,49,5,1,0,2,3,9,2
594,59973.0,47,1,0,51,382,15,0,0,2,2,10,4
595,17459.0,12,7,0,48,69,9,1,1,2,3,10,3
596,23910.0,80,7,0,54,67,6,1,0,1,2,11,2
597,42169.0,20,8,0,54,30,6,2,0,2,4,10,3
598,26224.0,39,6,0,45,63,9,1,0,2,3,10,3
599,31089.0,57,8,0,42,79,10,1,0,2,3,11,2
600,30081.0,27,7,0,62,42,5,1,0,1,2,10,2
601,62807.0,83,5,0,63,819,23,1,0,2,3,11,2
602,72906.0,79,1,0,68,1151,17,0,0,1,1,10,2
603,61467.0,69,5,0,75,594,20,2,0,2,4,11,4
604,49618.0,77,7,0,57,129,11,2,0,2,4,10,3
605,21888.0,15,10,0,37,213,12,1,1,1,2,11,3
606,42429.0,99,5,0,50,67,7,1,0,1,2,9,2
607,26150.0,61,7,0,67,28,5,3,0,1,4,10,2
608,30801.0,23,7,0,48,45,6,1,0,2,3,11,1
609,81168.0,84,3,0,58,1193,18,0,1,2,2,9,2
610,26877.0,74,6,0,54,268,12,0,0,1,1,10,3
611,45006.0,90,3,0,79,266,12,0,0,1,1,10,3
612,18978.0,41,8,0,50,37,5,1,0,2,3,11,1
613,22574.0,28,7,0,56,37,7,3,0,2,5,10,2
614,48240.0,73,5,0,54,882,25,0,1,1,1,11,4
615,45837.0,88,7,0,49,373,18,2,0,2,4,10,2
616,35791.0,94,8,0,58,35,6,3,0,1,4,10,3
618,54162.0,31,4,0,45,42,5,2,0,1,3,10,2
619,30522.0,6,2,0,63,326,17,1,0,2,3,11,3
620,54456.0,23,6,0,62,404,17,1,0,2,3,10,4
621,31632.0,92,7,0,52,95,6,0,0,1,1,10,2
622,72298.0,52,1,0,74,939,14,0,2,1,1,9,2
623,36975.0,50,7,0,45,33,5,1,0,1,2,10,3
624,72635.0,54,3,0,68,981,21,0,1,2,2,10,3
625,13624.0,93,6,0,47,36,7,1,0,2,3,10,2
626,84196.0,56,3,0,48,1237,20,1,0,1,2,10,2
627,70971.0,28,7,0,63,1825,34,1,1,2,3,11,2
628,34487.0,94,9,0,46,103,9,2,0,1,3,11,4
629,28769.0,76,9,0,46,191,12,1,0,1,2,11,2
630,69084.0,43,8,0,53,1586,25,1,0,2,3,10,4
631,65488.0,46,1,0,65,963,14,0,0,2,2,9,4
632,62466.0,13,4,0,53,889,26,1,0,2,3,9,3
633,32218.0,27,7,0,63,93,7,0,2,1,1,9,3
634,83917.0,12,3,0,50,1587,21,0,1,1,1,10,2
635,46102.0,3,7,0,61,16,4,3,0,1,4,9,2
636,84574.0,72,5,0,71,1375,32,0,0,1,1,10,2
637,56181.0,6,4,0,61,393,14,1,0,2,3,10,2
638,63120.0,53,7,0,73,1477,26,1,1,1,2,11,3
639,73691.0,58,2,0,52,1179,18,1,1,2,3,10,2
640,63381.0,78,2,0,63,1005,26,1,0,2,3,11,2
641,76140.0,57,2,0,75,1348,21,0,0,2,2,9,4
642,62859.0,37,6,0,64,1307,23,1,0,1,2,11,4
643,45906.0,20,5,0,59,486,15,1,1,1,2,10,2
644,77632.0,73,2,0,76,2252,13,0,3,2,2,10,3
645,46463.0,56,6,0,52,235,17,2,0,2,4,10,4
646,105471.0,36,3,0,53,1724,30,0,3,2,2,10,2
647,55282.0,9,4,0,53,235,11,1,0,1,2,10,3
648,78710.0,42,4,0,46,1092,28,1,0,2,3,9,3
649,66886.0,28,5,0,65,599,17,1,0,2,3,10,2
650,98777.0,23,1,0,63,2008,19,0,1,1,1,9,3
651,29103.0,38,9,0,38,48,6,1,0,2,3,11,2
652,67445.0,63,6,0,49,1174,32,1,0,2,3,11,2
653,50616.0,71,2,0,73,67,7,1,0,2,3,9,4
654,49431.0,9,8,0,68,365,15,1,0,1,2,11,2
656,61278.0,87,6,0,70,165,10,1,0,2,3,9,2
657,26490.0,92,6,0,65,210,11,0,0,2,2,11,3
658,73059.0,36,4,0,76,1095,26,1,0,2,3,10,4
659,46734.0,86,6,0,57,223,12,3,1,1,4,10,4
660,56253.0,83,6,0,60,597,22,1,0,2,3,11,2
661,19986.0,74,7,0,38,22,4,1,0,2,3,10,2
662,58330.0,87,4,0,48,1064,24,1,0,1,2,10,2
663,25965.0,29,8,0,43,74,6,0,0,2,2,11,1
664,14661.0,88,6,0,67,26,5,0,0,2,2,10,3
665,18690.0,77,8,0,64,60,5,0,0,2,2,11,2
666,45068.0,25,7,0,49,20,4,1,0,2,3,10,4
667,21063.0,34,6,0,36,59,7,1,0,1,2,10,1
668,29187.0,43,8,0,55,34,5,1,0,2,3,10,4
669,54690.0,76,3,0,52,198,12,2,0,2,4,10,3
670,59304.0,81,5,0,59,1048,28,1,0,2,3,10,4
671,59247.0,87,6,0,61,574,21,2,0,1,3,10,3
672,66731.0,33,3,0,53,1029,17,1,0,1,2,11,2
673,77353.0,38,4,0,43,670,20,1,0,2,3,10,2
674,52614.0,63,8,0,48,990,16,1,0,1,2,11,4
675,26751.0,26,8,0,49,11,4,2,0,2,4,9,2
676,81300.0,17,5,0,60,1241,21,1,2,2,3,11,4
677,70337.0,75,1,0,44,576,17,0,0,1,1,9,2
678,36145.0,13,9,0,38,172,12,1,2,2,3,10,3
679,65295.0,19,2,0,43,664,20,0,0,1,1,10,4
680,68118.0,51,6,0,60,928,23,1,0,1,2,10,2
681,68743.0,81,7,0,56,2074,30,0,0,1,1,11,2
682,41039.0,32,8,0,41,467,15,0,0,2,2,10,3
683,38946.0,84,5,0,68,257,12,1,0,2,3,10,2
684,65777.0,87,1,0,56,1146,17,0,0,2,2,10,2
685,66476.0,99,4,0,47,689,20,1,0,1,2,10,4
686,86857.0,96,2,0,51,2114,22,0,1,1,1,11,4
688,77845.0,40,1,0,34,1346,21,0,2,2,2,9,4
689,69476.0,3,2,0,54,1044,15,0,0,2,2,10,4
690,50611.0,98,6,0,63,493,22,1,2,1,2,11,4
691,61209.0,73,2,0,53,957,13,0,0,1,1,10,2
692,42315.0,90,3,0,65,270,12,1,0,2,3,10,3
693,13084.0,29,6,0,71,29,5,0,0,2,2,10,1
694,47570.0,3,7,0,74,121,9,2,1,1,3,10,3
695,61923.0,94,3,0,62,126,8,2,0,2,4,10,3
696,34824.0,65,6,0,28,23,4,0,0,1,1,9,2
697,26518.0,33,8,0,74,57,8,2,1,1,3,10,4
698,45938.0,46,6,0,62,636,20,0,0,1,1,10,2
699,78468.0,29,4,0,63,1004,28,0,1,2,2,9,2
700,78901.0,99,4,0,50,734,20,1,0,1,2,10,2
701,71427.0,26,4,0,45,614,20,2,0,2,4,9,2
702,71022.0,30,8,0,45,1453,21,1,1,1,2,9,2
703,90247.0,27,1,0,35,1621,15,0,4,1,1,9,3
704,41335.0,24,7,0,55,187,12,1,0,1,2,10,3
705,71952.0,93,4,0,37,1443,22,1,2,2,3,10,2
706,35682.0,34,2,0,53,57,6,1,0,1,2,9,4
707,43185.0,88,8,0,72,637,20,1,0,1,2,10,2
708,66375.0,96,7,0,75,948,14,1,1,2,3,10,4
709,35178.0,10,7,0,52,59,5,1,2,2,3,10,3
710,25252.0,26,8,0,37,18,4,1,0,2,3,10,2
711,55250.0,49,5,0,58,903,26,1,0,1,2,11,3
712,33249.0,11,6,0,48,112,8,1,0,1,2,10,2
713,58398.0,44,4,0,70,596,20,0,0,2,2,10,2
714,50272.0,75,7,0,41,233,13,1,0,2,3,10,2
715,76618.0,64,1,0,48,1511,11,0,0,2,2,11,4
716,87305.0,19,2,0,63,1152,17,0,2,1,1,11,3
717,25851.0,45,7,0,45,48,7,1,0,2,3,10,2
718,58710.0,77,6,0,53,1185,31,1,0,1,2,10,2
719,45160.0,9,7,0,65,21,4,2,0,1,3,9,2
720,74806.0,1,4,0,58,965,16,1,0,2,3,11,3
721,59111.0,90,7,0,69,869,21,0,0,2,2,10,2
722,18988.0,43,7,0,39,16,6,1,0,2,3,9,4
723,72190.0,79,3,0,58,1947,16,0,0,2,2,10,2
724,7500.0,19,9,0,47,71,12,1,2,2,3,11,2
725,44794.0,99,6,0,57,65,6,1,0,2,3,9,2
726,80395.0,62,2,0,68,1380,24,0,1,2,2,10,2
727,75012.0,41,1,0,47,1027,23,0,0,1,1,9,3
728,56962.0,60,7,0,58,411,21,3,0,2,5,10,3
729,89891.0,17,4,0,32,836,26,0,1,2,2,10,2
730,35946.0,24,5,0,74,11,4,2,0,1,3,10,4
731,53593.0,60,8,0,70,480,23,2,0,2,4,11,4
732,66373.0,57,3,0,45,606,23,2,0,2,4,10,2
733,45072.0,74,8,0,75,284,16,3,0,1,4,10,4
734,89694.0,22,5,0,50,1472,14,2,3,1,3,10,2
735,72025.0,46,2,0,74,1677,26,0,4,2,2,9,2
736,67432.0,69,4,0,50,1335,19,1,0,2,3,10,2
737,70545.0,29,2,0,71,334,13,1,0,2,3,9,3
738,17487.0,37,7,0,34,18,4,1,0,2,3,10,1
739,62882.0,26,4,0,54,1338,20,1,0,2,3,11,2
740,64108.0,8,5,0,70,1099,30,1,0,1,2,10,4
741,34941.0,26,8,0,67,97,8,2,0,2,4,10,3
742,48767.0,79,5,0,73,63,9,3,0,1,4,9,4
743,38702.0,71,6,0,45,109,9,1,0,2,3,10,3
744,82224.0,83,3,0,59,902,21,0,1,2,2,9,2
745,83844.0,57,1,0,71,1574,20,0,1,2,2,10,2
746,17003.0,37,5,0,48,38,9,1,0,2,3,10,3
747,71163.0,30,1,0,28,960,24,0,0,1,1,9,2
748,33697.0,34,7,0,53,28,4,1,1,1,2,10,2
749,63564.0,0,6,0,69,1215,28,0,2,2,2,9,3
750,83443.0,89,2,0,51,1497,22,0,0,2,2,10,4
751,51518.0,92,3,0,65,449,17,1,0,2,3,10,4
752,58330.0,87,4,0,48,1064,24,1,0,1,2,10,2
753,80952.0,20,8,0,54,1757,25,0,4,2,2,10,2
754,75507.0,56,3,0,44,1440,21,0,0,2,2,9,2
755,63855.0,28,4,0,45,1006,24,0,0,2,2,10,3
756,62220.0,55,6,0,51,1226,23,1,1,2,3,11,4
757,58512.0,25,8,0,59,1171,20,1,0,2,3,10,2
758,40662.0,0,4,0,44,92,8,1,0,2,3,10,3
759,38829.0,86,5,0,64,99,8,1,0,2,3,9,4
760,35523.0,8,7,0,42,66,8,1,0,2,3,10,3
761,79146.0,33,6,0,56,564,19,2,0,1,3,9,2
762,78285.0,13,3,0,35,1427,21,0,0,2,2,10,3
763,31626.0,12,7,0,45,86,6,1,2,1,2,10,4
764,75127.0,92,1,0,71,833,19,0,0,1,1,9,2
765,48726.0,90,6,0,68,242,12,1,0,2,3,10,2
766,74985.0,8,2,0,46,1869,17,0,0,2,2,11,2
767,67430.0,6,6,0,36,1364,29,0,0,2,2,11,2
768,46891.0,91,4,0,58,183,8,1,0,2,3,10,3
769,62058.0,52,6,0,67,450,18,1,0,2,3,10,3
770,72063.0,3,2,0,44,758,21,1,0,2,3,10,2
771,78939.0,57,3,0,72,1507,20,0,0,2,2,10,4
772,42720.0,9,8,0,58,654,25,2,1,1,3,10,2
773,33622.0,22,7,0,51,81,9,2,0,2,4,10,2
774,6835.0,76,20,0,66,137,1,1,0,2,3,11,4
775,41452.0,86,7,0,70,16,4,2,0,2,4,10,2
776,40760.0,64,6,0,58,93,8,1,0,1,2,10,4
777,74250.0,90,1,0,65,1158,18,0,0,2,2,9,4
778,51124.0,79,3,0,68,43,6,2,0,1,3,10,3
779,72258.0,28,2,0,52,1525,22,1,0,1,2,10,2
780,71466.0,86,1,0,49,1230,19,0,0,1,1,9,4
781,36283.0,42,4,0,47,29,6,2,0,2,4,9,2
782,20587.0,39,7,0,53,25,5,1,0,1,2,9,2
783,30467.0,8,7,0,51,24,4,1,0,2,3,9,2
784,31590.0,40,8,0,51,38,5,1,0,2,3,10,2
785,20425.0,5,7,0,37,57,7,1,0,2,3,11,1
786,17144.0,96,7,0,63,47,12,2,0,2,4,9,3
787,42564.0,28,7,0,55,813,24,1,2,1,2,10,4
788,43783.0,22,7,0,45,629,22,1,1,2,3,9,3
789,40780.0,30,9,0,47,377,17,1,0,1,2,11,2
790,62847.0,45,2,0,78,1612,14,0,0,2,2,10,3
791,82017.0,58,2,0,66,729,17,0,4,2,2,11,4
792,16813.0,49,7,0,73,50,6,0,1,1,1,10,2
793,51267.0,37,4,0,45,270,15,2,0,2,4,10,2
794,46524.0,70,3,0,62,177,9,1,0,1,2,10,2
795,45183.0,33,7,0,61,315,13,0,1,1,1,10,3
796,70421.0,98,6,0,69,767,23,1,0,2,3,9,4
797,60161.0,17,8,0,58,1071,26,1,0,1,2,11,3
798,73926.0,54,3,0,50,1580,24,0,0,2,2,10,2
799,19329.0,39,8,0,55,60,10,1,0,2,3,10,2
800,61872.0,81,4,0,53,573,21,1,0,2,3,10,3
801,46984.0,71,5,0,67,41,5,2,0,1,3,10,2
802,34838.0,62,6,0,72,170,10,2,0,2,4,10,2
803,82716.0,8,2,0,79,1167,28,0,0,1,1,10,4
804,48192.0,76,8,0,65,1526,25,0,4,2,2,10,2
805,49681.0,66,7,0,47,458,21,2,0,2,4,10,3
806,56850.0,83,2,0,52,63,6,1,0,2,3,9,3
807,55267.0,28,3,0,66,405,17,1,0,2,3,10,2
808,59666.0,87,8,0,51,1027,20,2,1,2,4,10,2
809,72504.0,43,2,0,51,1478,22,1,0,1,2,10,2
810,26872.0,0,6,0,42,72,5,0,0,2,2,10,2
811,21359.0,1,8,0,51,48,7,1,1,1,2,10,2
812,73170.0,1,2,0,48,726,16,0,0,1,1,9,2
813,52750.0,72,4,0,68,860,27,1,0,2,3,10,3
814,91820.0,72,1,0,37,1497,22,0,0,2,2,10,4
815,65968.0,12,3,0,53,495,18,1,0,2,3,9,4
816,30772.0,89,6,0,47,20,4,2,0,2,4,9,2
817,22507.0,67,9,0,69,570,19,0,0,1,1,11,2
818,65685.0,54,5,0,51,769,21,1,0,2,3,9,2
819,25804.0,34,8,0,45,55,7,1,0,2,3,10,3
820,76412.0,15,3,0,43,1808,18,0,3,1,1,10,4
821,22063.0,43,7,0,51,55,7,1,0,2,3,10,2
822,57091.0,0,5,0,62,577,18,0,2,1,1,9,2
823,22419.0,74,8,0,60,162,8,0,0,2,2,10,2
824,87771.0,61,6,0,64,1957,20,1,5,2,3,10,2
825,78353.0,51,8,0,64,1576,24,1,0,1,2,10,3
826,93404.0,97,5,0,69,1616,17,3,2,2,5,10,2
827,37859.0,75,8,0,61,36,6,3,0,1,4,10,2
828,80995.0,83,4,0,65,1482,22,1,0,1,2,10,4
829,16529.0,23,6,0,39,22,5,1,0,2,3,9,2
830,55412.0,65,5,0,47,63,6,2,0,1,3,10,4
831,48789.0,94,6,0,31,680,18,0,0,1,1,11,2
832,56575.0,42,5,0,56,542,20,2,0,2,4,10,4
833,25130.0,10,7,0,43,50,7,1,0,2,3,10,3
834,35441.0,94,8,0,56,39,6,2,0,2,4,10,2
835,71391.0,50,3,0,67,1043,28,1,0,2,3,10,2
836,49494.0,46,7,0,51,385,14,1,0,1,2,10,3
837,81702.0,98,3,0,43,1633,27,0,0,1,1,11,2
838,45889.0,42,6,0,43,46,5,1,0,1,2,10,3
839,56628.0,30,5,0,46,761,20,1,1,1,2,9,2
840,34026.0,11,5,0,73,76,9,2,0,2,4,10,2
841,40049.0,61,5,0,49,290,14,1,0,2,3,11,2
842,34176.0,12,6,0,35,89,11,1,0,1,2,9,2
843,19419.0,76,9,0,42,70,11,1,0,2,3,11,2
844,82504.0,2,1,0,63,1066,17,0,0,2,2,10,3
845,81205.0,43,2,0,53,2009,19,0,4,2,2,9,2
846,61618.0,27,3,0,32,1345,19,0,0,1,1,11,3
847,55284.0,60,5,0,67,764,23,1,0,1,2,11,3
848,49980.0,79,5,0,60,195,11,1,0,1,2,10,2
849,15072.0,96,5,0,43,53,11,2,0,2,4,10,2
850,49166.0,17,6,0,49,368,13,1,0,1,2,10,2
851,65324.0,0,4,0,69,544,20,1,0,2,3,9,4
852,82347.0,38,3,0,66,1853,25,0,2,2,2,11,3
853,30843.0,43,5,0,57,35,6,2,1,2,4,9,4
854,46374.0,1,8,0,49,446,18,1,3,2,3,9,4
855,60474.0,25,7,0,44,1180,31,1,0,1,2,10,2
856,38576.0,2,7,0,50,41,5,1,0,2,3,9,3
857,55357.0,66,5,0,38,727,22,2,0,2,4,10,2
858,37758.0,49,8,0,57,40,6,2,0,2,4,11,2
859,85710.0,5,2,0,34,1062,26,0,1,2,2,10,3
860,23228.0,71,8,0,54,40,7,1,0,2,3,9,2
861,44602.0,35,8,0,54,292,17,2,0,2,4,9,3
862,7500.0,94,6,0,36,15,4,0,0,2,2,10,2
863,38683.0,80,7,0,34,341,17,1,0,2,3,11,3
864,49514.0,61,7,0,48,369,13,1,0,1,2,10,3
865,57906.0,29,4,0,50,401,17,1,0,2,3,10,4
866,43456.0,0,5,0,57,393,17,1,0,1,2,10,3
867,19485.0,80,7,0,37,10,4,2,0,1,3,10,3
868,53172.0,54,3,0,45,486,16,1,0,2,3,10,2
869,30545.0,71,7,0,44,69,7,1,0,2,3,11,2
870,70123.0,27,3,0,40,1727,17,0,2,2,2,10,4
871,62450.0,61,3,0,64,995,16,1,1,1,2,9,2
872,21675.0,55,7,0,47,45,10,1,0,2,3,9,2
873,42395.0,35,7,0,42,182,12,2,0,1,3,9,3
874,61346.0,34,3,0,45,989,23,1,0,2,3,10,3
875,80812.0,95,2,0,70,1677,18,0,3,2,2,10,2
876,42835.0,64,6,0,52,595,23,2,0,1,3,10,3
877,39922.0,30,8,0,40,156,9,1,0,2,3,10,2
878,86424.0,12,1,0,67,1226,28,0,0,1,1,9,3
879,17117.0,96,9,0,45,128,11,1,0,2,3,10,3
880,24762.0,16,8,0,51,86,9,1,2,1,2,9,2
881,35797.0,16,8,0,48,68,7,1,0,2,3,11,2
882,36627.0,78,5,0,48,16,4,2,0,1,3,10,2
883,51111.0,83,6,0,42,55,7,2,0,2,4,9,3
884,86857.0,96,2,0,51,2114,22,0,1,1,1,11,4
885,82072.0,67,1,0,53,2018,19,0,0,2,2,10,4
886,46231.0,87,9,0,70,263,15,3,0,1,4,11,4
887,42243.0,34,7,0,64,55,7,2,0,2,4,10,2
888,51195.0,46,8,0,61,564,24,2,0,2,4,10,2
889,68092.0,7,5,0,45,1281,20,0,0,1,1,10,3
890,31814.0,73,9,0,50,83,7,1,1,2,3,10,2
891,51390.0,54,5,0,58,353,18,2,0,1,3,11,3
892,76630.0,93,1,0,40,1003,25,0,0,2,2,9,2
893,26868.0,52,7,0,32,14,4,1,0,1,2,9,1
894,48948.0,53,6,0,80,902,24,0,2,1,1,10,4
895,55260.0,81,6,0,51,1139,25,1,0,1,2,11,4
896,64090.0,8,5,0,67,797,20,1,1,2,3,10,2
897,78331.0,97,4,0,65,1638,25,1,0,1,2,9,2
898,37087.0,50,6,0,49,401,17,1,0,2,3,10,4
899,21846.0,38,8,0,37,84,11,1,0,1,2,10,2
900,81320.0,61,2,0,65,928,18,0,0,2,2,10,2
901,54137.0,46,6,0,53,203,11,1,0,1,2,10,2
902,66825.0,73,2,0,56,858,16,0,0,2,2,10,2
903,57100.0,19,3,0,50,409,13,0,0,2,2,10,2
904,58917.0,10,5,0,54,282,16,3,0,2,5,10,2
905,85072.0,94,0,0,46,1423,18,0,0,1,1,9,2
906,86429.0,10,2,0,62,1449,18,0,2,1,1,10,2
